id_bloc,bloc,id_parcelle,n_parcelle,surface_parcelle,id_carre,n_carre,surface_carre,id_arbre,n_arbre,nom_inventaire,nom_scientifique,x_parcelle_mesure,y_parcelle_mesure,xy_dd_4326,hom,hom_circumference,is_alive,code_mortality_abbr,code_observation_abbr,date_mesure,annee_campagne
2,F2 La Lolé,24,24,4,39,3,1,33639,139,Mossétéké,Synsepalum stipulatum,71.0,80.0,17.865292451248969 3.82288626576695778,,90.0,true,,MOUR,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33639,139,Mossétéké,Synsepalum stipulatum,71.0,80.0,17.865292451248969 3.82288626576695778,,0.0,false,CHA1,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33640,140,Bonda,Celtis zenkeri,71.0,80.0,17.865292451248969 3.82288626576695778,,78.5,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33640,140,Bonda,Celtis zenkeri,71.0,80.0,17.865292451248969 3.82288626576695778,,79.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33640,140,Bonda,Celtis zenkeri,71.0,80.0,17.865292451248969 3.82288626576695778,,78.5,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33640,140,Bonda,Celtis zenkeri,71.0,80.0,17.865292451248969 3.82288626576695778,,82.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33642,142,Mokala,Afzelia bipindensis,72.0,68.0,17.8653010863585067 3.82277780932761102,,187.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33642,142,Mokala,Afzelia bipindensis,72.0,68.0,17.8653010863585067 3.82277780932761102,,186.5,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33642,142,Mokala,Afzelia bipindensis,72.0,68.0,17.8653010863585067 3.82277780932761102,,186.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33642,142,Mokala,Afzelia bipindensis,72.0,68.0,17.8653010863585067 3.82277780932761102,,189.5,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33643,143,"Nganza, Mokossokosso",Pausinystalia macroceras,73.0,70.0,17.8653101417108786 3.82279585022412416,,58.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33643,143,"Nganza, Mokossokosso",Pausinystalia macroceras,73.0,70.0,17.8653101417108786 3.82279585022412416,,58.5,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33643,143,"Nganza, Mokossokosso",Pausinystalia macroceras,73.0,70.0,17.8653101417108786 3.82279585022412416,,59.5,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33643,143,"Nganza, Mokossokosso",Pausinystalia macroceras,73.0,70.0,17.8653101417108786 3.82279585022412416,,62.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33644,144,Molosiko,Strombosiopsis tetrandra,76.0,70.0,17.8653371276649047 3.82279575976936981,,62.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33644,144,Molosiko,Strombosiopsis tetrandra,76.0,70.0,17.8653371276649047 3.82279575976936981,,62.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33644,144,Molosiko,Strombosiopsis tetrandra,76.0,70.0,17.8653371276649047 3.82279575976936981,,0.0,false,MSP,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33645,145,Bonda,Celtis zenkeri,77.0,68.0,17.8653460629476086 3.82277765857040119,,48.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33645,145,Bonda,Celtis zenkeri,77.0,68.0,17.8653460629476086 3.82277765857040119,,49.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33645,145,Bonda,Celtis zenkeri,77.0,68.0,17.8653460629476086 3.82277765857040119,,52.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33645,145,Bonda,Celtis zenkeri,77.0,68.0,17.8653460629476086 3.82277765857040119,,55.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33646,146,Monghinza,Manilkara mabokeensis,79.0,65.0,17.8653639635299797 3.82275049169647696,,102.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33646,146,Monghinza,Manilkara mabokeensis,79.0,65.0,17.8653639635299797 3.82275049169647696,,102.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33646,146,Monghinza,Manilkara mabokeensis,79.0,65.0,17.8653639635299797 3.82275049169647696,,102.5,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33646,146,Monghinza,Manilkara mabokeensis,79.0,65.0,17.8653639635299797 3.82275049169647696,,104.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33647,147,Bonda,Celtis zenkeri,72.0,66.0,17.8653010263245662 3.82275973827969251,,36.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33647,147,Bonda,Celtis zenkeri,72.0,66.0,17.8653010263245662 3.82275973827969251,,37.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33647,147,Bonda,Celtis zenkeri,72.0,66.0,17.8653010263245662 3.82275973827969251,,37.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33647,147,Bonda,Celtis zenkeri,72.0,66.0,17.8653010263245662 3.82275973827969251,,38.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33648,148,Bonda,Celtis zenkeri,71.0,63.0,17.8652919409566309 3.82273266185860061,,44.5,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33648,148,Bonda,Celtis zenkeri,71.0,63.0,17.8652919409566309 3.82273266185860061,,45.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33648,148,Bonda,Celtis zenkeri,71.0,63.0,17.8652919409566309 3.82273266185860061,,45.5,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33648,148,Bonda,Celtis zenkeri,71.0,63.0,17.8652919409566309 3.82273266185860061,,47.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33649,149,Mboulou,Aningeria altissima,76.0,63.0,17.8653369175437469 3.82273251110364987,,114.5,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33649,149,Mboulou,Aningeria altissima,76.0,63.0,17.8653369175437469 3.82273251110364987,,113.5,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33649,149,Mboulou,Aningeria altissima,76.0,63.0,17.8653369175437469 3.82273251110364987,,114.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33649,149,Mboulou,Aningeria altissima,76.0,63.0,17.8653369175437469 3.82273251110364987,,117.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33650,150,Mossétéké,Synsepalum stipulatum,75.0,58.0,17.8653277721425354 3.82268736363603434,,84.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33650,150,Mossétéké,Synsepalum stipulatum,75.0,58.0,17.8653277721425354 3.82268736363603434,,85.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33650,150,Mossétéké,Synsepalum stipulatum,75.0,58.0,17.8653277721425354 3.82268736363603434,,84.5,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33650,150,Mossétéké,Synsepalum stipulatum,75.0,58.0,17.8653277721425354 3.82268736363603434,,86.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33651,151,Déké,Khaya anthotheca,76.0,56.0,17.8653367074260885 3.82266926243782335,,62.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33651,151,Déké,Khaya anthotheca,76.0,56.0,17.8653367074260885 3.82266926243782335,,62.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33651,151,Déké,Khaya anthotheca,76.0,56.0,17.8653367074260885 3.82266926243782335,,64.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33651,151,Déké,Khaya anthotheca,76.0,56.0,17.8653367074260885 3.82266926243782335,,64.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33652,152,Mbaléké,Gambeya boukokoensis,79.0,54.0,17.865363633341989 3.82265110093825244,,37.5,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33652,152,Mbaléké,Gambeya boukokoensis,79.0,54.0,17.865363633341989 3.82265110093825244,,37.5,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33652,152,Mbaléké,Gambeya boukokoensis,79.0,54.0,17.865363633341989 3.82265110093825244,,38.0,true,,INCL,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33652,152,Mbaléké,Gambeya boukokoensis,79.0,54.0,17.865363633341989 3.82265110093825244,,39.0,true,,INCL,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33653,153,Ngbi,Klainedoxa gabonensis,74.0,53.0,17.8653186267439814 3.82264221616755684,,56.5,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33653,153,Ngbi,Klainedoxa gabonensis,74.0,53.0,17.8653186267439814 3.82264221616755684,,57.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33653,153,Ngbi,Klainedoxa gabonensis,74.0,53.0,17.8653186267439814 3.82264221616755684,,57.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33653,153,Ngbi,Klainedoxa gabonensis,74.0,53.0,17.8653186267439814 3.82264221616755684,,56.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33654,154,Modiengué,Polyalthia suaveolens,71.0,50.0,17.8652915507470169 3.82261520004590905,,83.5,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33654,154,Modiengué,Polyalthia suaveolens,71.0,50.0,17.8652915507470169 3.82261520004590905,,83.5,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33654,154,Modiengué,Polyalthia suaveolens,71.0,50.0,17.8652915507470169 3.82261520004590905,,84.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33654,154,Modiengué,Polyalthia suaveolens,71.0,50.0,17.8652915507470169 3.82261520004590905,,86.5,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33655,155,Goué,Zanha golungensis,73.0,47.0,17.8653094513324113 3.82258803317428786,,162.5,true,,MOUR,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33655,155,Goué,Zanha golungensis,73.0,47.0,17.8653094513324113 3.82258803317428786,,162.0,true,,MOUR,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33655,155,Goué,Zanha golungensis,73.0,47.0,17.8653094513324113 3.82258803317428786,,162.5,true,,MOUR,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33655,155,Goué,Zanha golungensis,73.0,47.0,17.8653094513324113 3.82258803317428786,,165.5,true,,MOUR,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33656,156,Mossétéké,Synsepalum stipulatum,75.0,49.0,17.8653275019959672 3.82260604392207037,,36.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33656,156,Mossétéké,Synsepalum stipulatum,75.0,49.0,17.8653275019959672 3.82260604392207037,,36.5,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33656,156,Mossétéké,Synsepalum stipulatum,75.0,49.0,17.8653275019959672 3.82260604392207037,,37.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33656,156,Mossétéké,Synsepalum stipulatum,75.0,49.0,17.8653275019959672 3.82260604392207037,,40.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33657,157,Bonda,Celtis zenkeri,75.0,49.0,17.8653275019959672 3.82260604392207037,,58.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33657,157,Bonda,Celtis zenkeri,75.0,49.0,17.8653275019959672 3.82260604392207037,,58.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33657,157,Bonda,Celtis zenkeri,75.0,49.0,17.8653275019959672 3.82260604392207037,,59.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33657,157,Bonda,Celtis zenkeri,75.0,49.0,17.8653275019959672 3.82260604392207037,,60.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33660,160,Bonda,Celtis zenkeri,79.0,44.0,17.8653633331785926 3.82256074570327842,,41.5,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33660,160,Bonda,Celtis zenkeri,79.0,44.0,17.8653633331785926 3.82256074570327842,,41.5,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33660,160,Bonda,Celtis zenkeri,79.0,44.0,17.8653633331785926 3.82256074570327842,,42.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33660,160,Bonda,Celtis zenkeri,79.0,44.0,17.8653633331785926 3.82256074570327842,,45.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33661,161,Mossétéké,Synsepalum stipulatum,72.0,38.0,17.8653001858794589 3.82250674360793452,,117.5,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33661,161,Mossétéké,Synsepalum stipulatum,72.0,38.0,17.8653001858794589 3.82250674360793452,,117.5,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33661,161,Mossétéké,Synsepalum stipulatum,72.0,38.0,17.8653001858794589 3.82250674360793452,,118.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33661,161,Mossétéké,Synsepalum stipulatum,72.0,38.0,17.8653001858794589 3.82250674360793452,,118.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33662,162,Bango,Diospyros iturensis,72.0,39.0,17.8653002158943934 3.82251577913195462,,50.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33662,162,Bango,Diospyros iturensis,72.0,39.0,17.8653002158943934 3.82251577913195462,,50.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33662,162,Bango,Diospyros iturensis,72.0,39.0,17.8653002158943934 3.82251577913195462,,50.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33662,162,Bango,Diospyros iturensis,72.0,39.0,17.8653002158943934 3.82251577913195462,,52.0,true,,,2015-12-16,2015
